BookId,AuthorId
1,111
2,311
3,273
4,147
5,312
6,485
7,94
8,160
9,34
10,301
11,293
12,249
13,35
14,35
15,26
16,35
17,35
18,371
19,350
20,123
21,42
22,382
23,237
24,83
25,191
26,157
27,336
28,242
29,45
30,282
31,183
32,450
33,79
34,5
35,182
36,173
37,80
38,30
39,434
40,471
41,149
42,380
43,317
44,412
45,383
46,71
47,71
48,71
49,71
50,71
51,71
52,232
53,23
54,167
55,408
56,163
57,98
58,243
59,298
60,61
61,61
62,248
63,248
64,248
65,15
66,309
67,31
68,76
69,384
70,403
71,307
72,307
73,307
74,231
75,338
76,67
77,184
78,217
79,332
80,329
81,248
82,429
83,372
84,352
85,483
86,447
87,174
88,124
89,339
90,323
91,477
92,430
93,327
94,186
95,229
96,377
97,482
98,147
99,262
100,128
101,60
102,238
103,252
104,254
105,89
106,441
107,35
108,422
109,26
110,420
111,273
112,218
113,270
114,11
115,11
116,273
117,7
118,46
119,46
120,36
121,138
122,428
123,274
124,449
125,224
126,120
127,296
128,448
129,319
130,405
131,229
132,301
132,1
133,251
134,103
135,170
136,158
137,402
138,335
139,247
140,32
141,32
141,51
142,32
143,32
144,141
145,167
146,208
147,475
148,475
149,145
150,100
151,101
152,161
153,40
154,216
155,275
156,275
157,255
158,168
159,249
160,206
161,353
162,169
163,309
164,376
165,348
166,348
167,268
168,348
169,348
169,436
170,348
170,436
171,348
172,348
173,348
173,436
174,348
174,436
175,348
175,436
176,266
177,266
178,266
179,35
180,227
181,273
182,161
183,161
184,293
185,293
186,293
187,293
188,458
189,458
190,458
191,458
192,458
193,458
194,458
195,458
196,348
197,161
198,161
199,161
200,161
201,348
202,347
204,167
205,300
206,146
207,291
208,458
209,458
210,458
211,144
212,458
213,260
214,422
215,458
216,458
217,458
218,348
219,332
220,147
221,458
222,458
223,168
224,168
225,41
226,26
227,217
228,143
229,348
230,291
231,150
232,213
234,151
235,377
236,473
237,458
238,299
239,213
240,74
241,357
242,357
243,369
244,369
245,116
246,116
247,116
248,362
249,266
250,266
251,210
252,313
253,377
254,484
255,484
256,233
257,344
258,455
259,284
260,58
261,70
262,385
263,416
264,431
265,153
266,15
267,391
268,171
269,392
270,211
271,295
272,301
273,387
274,192
275,306
276,290
277,11
278,11
279,35
279,346
280,359
281,266
282,370
512,111
513,311
514,273
515,147
516,312
517,485
518,94
519,160
520,34
521,301
522,293
523,249
524,35
525,35
526,26
527,35
528,35
529,371
530,350
531,123
532,42
533,382
534,237
535,83
536,191
537,157
538,336
539,242
540,45
541,282
542,183
543,450
544,79
545,5
546,182
547,173
548,80
549,30
550,434
551,471
552,149
553,380
554,317
555,412
556,383
557,71
558,71
559,71
560,71
561,71
562,71
563,232
564,23
565,167
566,408
567,163
568,98
569,243
570,298
571,61
572,61
573,248
574,248
575,248
576,15
577,309
578,31
579,76
580,384
581,403
582,307
583,307
584,307
585,231
586,338
587,67
588,184
589,217
590,332
591,329
592,248
593,429
594,372
595,352
596,483
597,447
598,174
599,124
600,339
601,323
602,477
603,430
604,327
605,186
606,229
607,377
608,482
609,147
610,262
611,128
612,60
613,238
614,252
615,254
616,89
617,441
618,35
619,422
620,26
621,420
622,273
623,218
624,270
625,11
626,11
627,273
628,7
629,46
630,46
631,36
632,138
633,428
634,274
635,449
636,224
637,120
638,296
639,448
640,319
641,405
642,229
643,301
643,1
644,251
645,103
646,170
647,158
648,402
649,335
650,247
651,32
652,32
652,51
653,32
654,32
655,141
656,167
657,208
658,475
659,475
660,145
661,100
662,101
663,161
664,40
665,216
666,275
667,275
668,255
669,168
670,249
671,206
672,353
673,169
674,309
675,376
676,348
677,348
678,268
679,348
680,348
680,436
681,348
681,436
682,348
683,348
684,348
684,436
685,348
685,436
686,348
686,436
687,266
688,266
689,266
690,35
691,227
692,273
693,161
694,161
695,293
696,293
697,293
698,293
699,458
700,458
701,458
702,458
703,458
704,458
705,458
706,458
707,348
708,161
709,161
710,161
711,161
712,348
713,347
715,167
716,300
717,146
718,291
719,458
720,458
721,458
722,144
723,458
724,260
725,422
726,458
727,458
728,458
729,348
730,332
731,147
732,458
733,458
734,168
735,168
736,41
737,26
738,217
739,143
740,348
741,291
742,150
743,213
745,151
746,377
747,473
748,458
749,299
750,213
751,74
752,357
753,357
754,369
755,369
756,116
757,116
758,116
759,362
760,266
761,266
762,210
763,313
764,377
765,484
766,484
767,233
768,344
769,455
770,284
771,58
772,70
773,385
774,416
775,431
776,153
777,15
778,391
779,171
780,392
781,211
782,295
783,301
784,387
785,192
786,306
787,290
788,11
789,11
790,35
790,346
791,359
792,266
793,370
